id,category,question,answer,source
1,Basics,What is slime?,"Slime is a soft, stretchy material commonly made by combining a polymer such as PVA glue with an activator that links the polymer chains.",Curated from Michigan Science Center; Fun Science UK; One Little Project
2,Basics,Why does glue turn into slime?,An activator creates links between polymer chains in PVA glue. This changes the glue from a runny liquid into a stretchy gel-like material.,Curated from Michigan Science Center; Fun Science UK; One Little Project
3,Basics,What is the main ingredient in most homemade slime?,PVA-based white or clear school glue is the most common base for homemade slime.,Curated from Michigan Science Center; Fun Science UK; One Little Project
4,Basics,What type of glue works best for basic slime?,A PVA-based white or clear school glue is generally the most reliable choice.,Curated from Michigan Science Center; Fun Science UK; One Little Project
5,Basics,Can clear glue be used for slime?,Yes. Clear PVA glue can be used to make clear slime and other transparent or glitter-based slimes.,Curated from Michigan Science Center; Fun Science UK; One Little Project
6,Basics,What makes slime stretchy?,The balance between the polymer and activator affects stretch. A properly activated slime can stretch while still holding together.,Curated from Michigan Science Center; Fun Science UK; One Little Project
7,Basics,Why does slime become less sticky after kneading?,Kneading helps distribute the activator through the mixture and allows the slime's structure to develop more evenly.,Curated from Michigan Science Center; Fun Science UK; One Little Project
8,Basics,Why is newly made slime sometimes sticky?,"Fresh slime may still need additional kneading and, if necessary, a very small amount of activator.",Curated from Michigan Science Center; Fun Science UK; One Little Project
9,Basics,Can slime be made in different colors?,Yes. Food coloring or suitable coloring can be mixed into the glue before activation.,Curated from Michigan Science Center; Fun Science UK; One Little Project
10,Basics,Can glitter be added to slime?,Yes. Glitter can be mixed into the base before or during the slime-making process.,Curated from Michigan Science Center; Fun Science UK; One Little Project
11,Basics,Can two slime colors be mixed?,"Yes. Two colors can be combined, although mixing them thoroughly will eventually create a blended color.",Curated from Michigan Science Center; Fun Science UK; One Little Project
12,Basics,What equipment is useful for making slime?,"A mixing bowl, spoon or spatula, measuring tools, and a clean work surface are useful for basic slime making.",Curated from Michigan Science Center; Fun Science UK; One Little Project
13,Basics,Why should ingredients be measured consistently?,Consistent measurements make the recipe easier to repeat and make troubleshooting more predictable.,Curated from Michigan Science Center; Fun Science UK; One Little Project
14,Basics,Does temperature affect slime?,Yes. Temperature can affect how quickly the mixture changes texture and how soft the finished slime feels.,Curated from Michigan Science Center; Fun Science UK; One Little Project
15,Basics,What is the basic slime-making process?,"Mix the glue and optional additives, add an appropriate activator gradually while stirring, then knead until the desired texture is reached.",Curated from Michigan Science Center; Fun Science UK; One Little Project
16,Ingredients,What is PVA glue?,"PVA is polyvinyl acetate, a polymer commonly found in school glue and used as the base for many slime recipes.",Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
17,Ingredients,Why is PVA important for slime?,PVA provides long polymer chains that can be linked by a suitable activator to create slime.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
18,Ingredients,What is an activator?,An activator is an ingredient or solution that helps link the polymer chains in the slime base.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
19,Ingredients,What are common slime activators?,"Common activators include appropriately prepared borate solutions, some contact lens solutions containing suitable borate ingredients, and liquid starch in recipes designed for it.",Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
20,Ingredients,Does every contact lens solution activate slime?,No. The formulation matters. Some slime recipes rely on contact lens solutions containing boric acid or related borate ingredients.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
21,Ingredients,What should I check on contact lens solution?,Check the ingredient list rather than relying only on the product name. Some slime recipes require a solution containing boric acid or another suitable borate compound.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
22,Ingredients,Can food coloring be added to slime?,Yes. A few drops of food coloring can be mixed into the glue before activation.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
23,Ingredients,Can shaving foam be added to slime?,Yes. Shaving foam is commonly added to recipes for fluffy slime.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
24,Ingredients,Can foam beads be added to slime?,Yes. Small foam beads can be mixed into a suitable slime base to create a crunchy texture.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
25,Ingredients,Can lotion be added to slime?,"Some recipes use a small amount of lotion to make slime feel softer or stretchier. Additives can change the texture, so use them gradually.",Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
26,Ingredients,Can water be added to slime?,Water can change the texture and consistency of slime. Add it carefully because too much can make the mixture runny.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
27,Ingredients,Can baking soda be used in slime?,Some contact-solution slime recipes use baking soda as part of the activation system. Follow the specific recipe rather than assuming it is required for every slime.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
28,Ingredients,Can laundry starch be used as an activator?,Some slime recipes use liquid or prepared starch solutions as an alternative activator.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
29,Ingredients,Can glitter be used in slime?,"Yes. Glitter can be used as a decorative additive, preferably in a form appropriate for craft use.",Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
30,Ingredients,Why should ingredients be added gradually?,Gradual addition makes it easier to control the final texture and reduces the chance of over-activating the slime.,Curated from Fun Science UK; One Little Project; Contact Lenses UK; Michigan Science Center
31,Recipes,How do I make basic glue slime?,"Combine PVA glue with any optional color, then add the appropriate activator gradually while stirring. Once the mixture comes together, knead it until smooth.",Curated from Michigan Science Center; Fun Science UK; One Little Project
32,Recipes,How do I make clear slime?,"Use clear PVA glue and a suitable activator. Mix carefully, then let the slime rest in a covered container so trapped bubbles can escape.",Curated from Michigan Science Center; Fun Science UK; One Little Project
33,Recipes,How do I make fluffy slime?,"Start with PVA glue, add shaving foam to create the fluffy texture, then add a suitable activator gradually and knead until the slime forms.",Curated from Michigan Science Center; Fun Science UK; One Little Project
34,Recipes,How do I make crunchy slime?,Prepare a slime base and gradually mix in small foam or texture beads. Knead until the beads are distributed evenly.,Curated from Michigan Science Center; Fun Science UK; One Little Project
35,Recipes,How do I make glitter slime?,"Mix glitter into a suitable glue base, then add the activator gradually and knead until the desired texture is reached.",Curated from Michigan Science Center; Fun Science UK; One Little Project
36,Recipes,How do I make colored slime?,Mix a small amount of food coloring into the glue before adding activator. Add color gradually so the shade is easier to control.,Curated from Michigan Science Center; Fun Science UK; One Little Project
37,Recipes,How do I make stretchy slime?,Use a suitable PVA base and avoid adding too much activator. Knead thoroughly and adjust the texture gradually.,Curated from Michigan Science Center; Fun Science UK; One Little Project
38,Recipes,How do I make soft slime?,A balanced activation level is important. Some recipes also use a small amount of a softening additive such as lotion.,Curated from Michigan Science Center; Fun Science UK; One Little Project
39,Recipes,How do I make slime with clear glue?,"Use clear PVA glue, add any desired color or glitter, and gradually incorporate the appropriate activator until the mixture forms slime.",Curated from Michigan Science Center; Fun Science UK; One Little Project
40,Recipes,How do I make slime with white glue?,"Mix white PVA school glue with optional color, then gradually add a suitable activator while stirring and kneading.",Curated from Michigan Science Center; Fun Science UK; One Little Project
41,Recipes,How do I make slime with contact lens solution?,"Use a recipe specifically designed for contact lens solution. Check that the solution contains the required borate ingredient, mix it gradually with the glue mixture, and knead.",Curated from Michigan Science Center; Fun Science UK; One Little Project
